City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
58,Beloha,MG,74.17,clear sky,-25.1667,45.05,
59,Punta Arenas,CL,48.31,scattered clouds,-53.15,-70.9167,Hotel Hain
60,Rocha,UY,54.28,clear sky,-34.4833,-54.3333,Hotel Arrarte
61,Nouadhibou,MR,66.18,scattered clouds,20.931,-17.0347,El Medina
64,Rincon,US,57.9,overcast clouds,32.296,-81.2354,Days Inn Rincon
66,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,East London,ZA,60.39,scattered clouds,-33.0153,27.9116,Tu Casa
69,Castro,BR,60.15,clear sky,-24.7911,-50.0119,CHACARA BAILLY
75,Jalu,LY,54.77,clear sky,29.0331,21.5482,صاحبة الفخامة
79,Albany,US,41.45,overcast clouds,42.6001,-73.9662,
82,Margate,GB,47.3,light rain,51.3813,1.3862,Premier Inn Margate hotel
84,Hambantota,LK,71.94,few clouds,6.1241,81.1185,Bungalow 63
85,Eureka,US,52.57,moderate rain,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
87,Cidreira,BR,67.12,clear sky,-30.1811,-50.2056,Hotel Castelo
88,Sorland,NO,40.86,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
91,Hasaki,JP,47.21,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
92,Bom Jardim,BR,71.91,clear sky,-7.7958,-35.5872,Wilton Joaquim 8 Wilton
93,Salalah,OM,68.67,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
94,Chaozhou,CN,55.26,clear sky,23.6651,116.6379,Seven Corner View Homestay
96,Adrar,MR,70.11,overcast clouds,20.5022,-10.0711,
99,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
100,Monte Patria,CL,71.65,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
102,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
103,Izumo,JP,42.75,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
105,Hobart,AU,72.05,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
111,Varangaon,IN,65.95,clear sky,21.0167,75.9,Pramod Tawade
114,Kodiak,US,38.71,light rain,57.79,-152.4072,Best Western Kodiak Inn
115,Eidsvag,NO,39.85,overcast clouds,62.7767,8.0668,Eidsvåg Fjordhotell
116,Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hotel San Juan
119,Avera,US,54.91,clear sky,33.194,-82.5271,
120,Fonte Boa,BR,73.17,overcast clouds,-2.4959,-66.2662,
122,Newport,GB,49.44,overcast clouds,51.5877,-2.9984,ibis budget Newport
124,Mungwi,ZM,60.58,overcast clouds,-10.1732,31.3694,Ilamfya Guest House
125,Sechura,PE,70.93,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
128,Abu Samrah,SY,47.05,clear sky,35.3029,37.1841,
131,Zamora,EC,67.21,broken clouds,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
132,Fortuna,US,51.93,light rain,40.5982,-124.1573,Super 8 Fortuna
133,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le four à pain
135,Huron,US,56.64,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
140,Cleburne,US,60.67,clear sky,32.3476,-97.3867,"Holiday Inn Express & Suites Cleburne, an IHG Hotel"
144,Tessalit,ML,62.02,broken clouds,20.1986,1.0114,
145,Sao Miguel Do Araguaia,BR,71.87,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
146,Marsala,IT,58.93,overcast clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
150,Marolambo,MG,65.44,overcast clouds,-20.05,48.1167,local guide suport centre
152,Jamestown,US,49.64,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
153,Shimoda,JP,50.36,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
154,Dustlik,UZ,36.91,overcast clouds,40.5247,68.0358,
155,Umm Lajj,SA,69.98,clear sky,25.0213,37.2685,Moon light Furnished Units
156,Maine-Soroa,NE,56.91,clear sky,13.2114,12.0241,Complexe
163,Breznik,BG,37.85,scattered clouds,42.7414,22.8981,"Guest House ""Margarita"""
165,Campanha,BR,64.24,overcast clouds,-21.8361,-45.4006,Hotel Cidade
167,Tomatlan,MX,68.54,scattered clouds,19.9333,-105.25,El Salvial
169,Sao Filipe,CV,71.92,few clouds,14.8961,-24.4956,Hotel Xaguate
171,Katsuura,JP,48.78,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
172,Bukama,CD,68.56,moderate rain,-9.2,25.85,
175,Codrington,AU,68.65,broken clouds,-38.2667,141.9667,
