City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
425,Chapais,49.7834,-74.8492,29.98,92,92,7.4,CA,2022-04-17 01:50:42
426,Oussouye,12.485,-16.5469,69.66,75,26,12.41,SN,2022-04-17 01:50:42
427,Aykhal,66.0,111.5,30.04,96,100,14.58,RU,2022-04-17 01:50:43
428,Labuan,5.2767,115.2417,84.56,79,20,5.99,MY,2022-04-17 01:50:43
429,Mareeba,-17.0,145.4333,80.44,69,100,7.0,AU,2022-04-17 01:50:44
430,Chifeng,42.2683,118.9636,58.69,14,100,12.5,CN,2022-04-17 01:50:44
431,Guerrero Negro,27.9769,-114.0611,60.49,83,46,19.48,MX,2022-04-17 01:50:45
432,Ergani,38.2653,39.7621,47.66,56,53,5.48,TR,2022-04-17 01:50:45
433,Pochutla,15.7432,-96.4661,85.82,66,10,7.18,MX,2022-04-17 01:50:45
434,Naryan-Mar,67.6713,53.087,18.59,96,100,6.51,RU,2022-04-17 01:50:46
435,Afsin,38.2477,36.914,48.11,50,19,1.41,TR,2022-04-17 01:50:46
436,Yelizovo,53.1873,158.3805,41.14,33,0,8.95,RU,2022-04-17 01:50:47
437,Farias Brito,-6.9306,-39.5656,79.48,90,27,2.84,BR,2022-04-17 01:50:47
438,Labuhan,-6.8844,112.2051,84.69,74,48,3.78,ID,2022-04-17 01:50:48
439,Hoddesdon,51.7615,-0.0114,47.97,91,100,5.95,GB,2022-04-17 01:50:48
440,Alofi,-19.0595,-169.9187,84.09,74,63,6.91,NU,2022-04-17 01:50:45
441,Hervey Bay,-25.2986,152.8535,76.01,65,59,11.01,AU,2022-04-17 01:46:28
442,Henties Bay,-22.116,14.2845,59.63,82,83,5.41,NA,2022-04-17 01:46:35
443,Guarapari,-20.6667,-40.4975,73.89,80,47,9.57,BR,2022-04-17 01:50:49
444,Katakwi,1.8911,33.9661,65.1,93,95,3.38,UG,2022-04-17 01:50:49
445,Artyom,40.4723,50.333,51.94,77,98,4.74,AZ,2022-04-17 01:50:50
446,Touros,-5.1989,-35.4608,79.03,84,86,6.15,BR,2022-04-17 01:50:50
447,Marmora,44.4583,7.094,45.1,98,100,4.83,IT,2022-04-17 01:50:51
448,Mount Gambier,-37.8333,140.7667,75.11,33,75,17.27,AU,2022-04-17 01:50:51
449,Oudtshoorn,-33.5907,22.2014,52.84,84,0,2.37,ZA,2022-04-17 01:50:52
450,Bontang,0.1333,117.5,82.0,72,96,2.66,ID,2022-04-17 01:50:52
451,Rakitovo,41.9833,24.0833,48.07,98,100,3.24,BG,2022-04-17 01:50:53
452,Fort Nelson,58.8053,-122.7002,20.79,68,100,11.5,CA,2022-04-17 01:50:53
453,Galesong,-5.3166,119.3661,77.02,77,29,9.51,ID,2022-04-17 01:50:54
454,Mwinilunga,-11.7358,24.4293,63.03,97,100,4.36,ZM,2022-04-17 01:50:54
455,Shenjiamen,29.9576,122.298,57.65,56,55,8.14,CN,2022-04-17 01:50:55
456,Aitape,-3.1374,142.3475,86.61,64,36,4.76,PG,2022-04-17 01:50:55
457,Nizhneangarsk,55.7833,109.55,30.65,97,100,2.68,RU,2022-04-17 01:50:56
458,Gaoual,11.75,-13.2,78.31,39,35,4.32,GN,2022-04-17 01:50:56
459,Yulara,-25.2406,130.9889,80.44,36,5,9.22,AU,2022-04-17 01:47:50
460,Popondetta,-8.7537,148.2534,84.52,74,98,4.23,PG,2022-04-17 01:50:57
461,Kautokeino,69.0125,23.0412,33.31,91,100,5.5,NO,2022-04-17 01:51:57
462,Buala,-8.145,159.5921,83.19,71,90,3.31,SB,2022-04-17 01:51:58
463,Khandbari,27.3747,87.2039,77.81,23,0,0.72,NP,2022-04-17 01:51:58
