City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
125,Sechura,PE,-5.5569,-80.8222,70.93,77,34,11.95,scattered clouds
126,Ilulissat,GL,69.2167,-51.1,7.29,95,100,8.08,light snow
127,Bojnurd,IR,37.4747,57.329,28.35,86,40,0.0,scattered clouds
128,Abu Samrah,SY,35.3029,37.1841,47.05,84,6,6.24,clear sky
129,Nuuk,GL,64.1835,-51.7216,9.77,88,61,6.31,broken clouds
130,Yulara,AU,-25.2406,130.9889,89.37,35,97,16.46,overcast clouds
131,Zamora,EC,-4.0692,-78.9567,67.21,98,60,1.34,broken clouds
132,Fortuna,US,40.5982,-124.1573,51.93,92,100,24.16,light rain
133,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,28,5.12,scattered clouds
134,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,100,5.75,light snow
135,Huron,US,41.1501,-82.5499,56.64,88,100,17.74,overcast clouds
136,Tirumullaivasal,IN,11.2333,79.8333,75.52,83,41,3.49,scattered clouds
137,Torbay,CA,47.6666,-52.7314,22.57,80,75,14.97,broken clouds
138,Bay Roberts,CA,47.5999,-53.2648,22.51,78,29,7.0,scattered clouds
139,Yoichi,JP,43.2039,140.7703,29.7,76,100,17.07,light snow
140,Cleburne,US,32.3476,-97.3867,60.67,62,0,8.05,clear sky
141,Moron,AR,-34.6534,-58.6198,80.35,49,0,5.44,clear sky
142,Hilo,US,19.7297,-155.09,90.28,84,6,3.0,clear sky
143,Brightwater,NZ,-41.3833,173.1167,77.63,44,100,7.7,overcast clouds
144,Tessalit,ML,20.1986,1.0114,62.02,16,76,8.48,broken clouds
145,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.87,95,99,3.69,overcast clouds
146,Marsala,IT,37.7966,12.4352,58.93,86,89,14.67,overcast clouds
147,Lorengau,PG,-2.0226,147.2712,77.09,91,100,9.4,light rain
148,Narsaq,GL,60.9167,-46.05,1.89,63,2,7.27,clear sky
149,Tiksi,RU,71.6872,128.8694,-8.72,95,100,9.62,overcast clouds
150,Marolambo,MG,-20.05,48.1167,65.44,97,90,1.66,overcast clouds
151,Martapura,ID,-3.4167,114.85,78.89,78,20,11.5,light rain
152,Jamestown,US,42.097,-79.2353,49.64,81,100,8.05,overcast clouds
153,Shimoda,JP,34.6667,138.95,50.36,75,69,3.74,broken clouds
154,Dustlik,UZ,40.5247,68.0358,36.91,83,100,5.75,overcast clouds
155,Umm Lajj,SA,25.0213,37.2685,69.98,43,0,9.75,clear sky
156,Maine-Soroa,NE,13.2114,12.0241,56.91,26,0,11.32,clear sky
157,Georgetown,MY,5.4112,100.3354,80.89,75,20,6.91,few clouds
158,Hay River,CA,60.8156,-115.7999,4.98,85,75,4.61,broken clouds
159,Kovdor,RU,67.5662,30.4758,1.2,100,100,3.98,overcast clouds
160,Zyryanka,RU,65.75,150.85,-32.73,99,100,3.74,overcast clouds
161,Kawalu,ID,-7.3817,108.2082,78.89,75,100,2.8,overcast clouds
162,Iqaluit,CA,63.7506,-68.5145,-13.27,75,20,21.85,few clouds
163,Breznik,BG,42.7414,22.8981,37.85,89,39,4.03,scattered clouds
164,Nanortalik,GL,60.1432,-45.2371,17.82,85,7,6.49,clear sky
165,Campanha,BR,-21.8361,-45.4006,64.24,96,100,3.22,overcast clouds
166,Thinadhoo,MV,0.5333,72.9333,80.15,77,20,7.96,few clouds
167,Tomatlan,MX,19.9333,-105.25,68.54,63,45,2.66,scattered clouds
168,Mahajanga,MG,-15.7167,46.3167,75.22,94,20,4.61,thunderstorm
169,Sao Filipe,CV,14.8961,-24.4956,71.92,65,21,6.15,few clouds
170,Karratha,AU,-20.7377,116.8463,98.96,27,23,9.55,few clouds
171,Katsuura,JP,35.1333,140.3,48.78,44,93,6.85,overcast clouds
172,Bukama,CD,-9.2,25.85,68.56,99,100,2.35,moderate rain
173,Miandrivazo,MG,-19.5167,45.4667,75.06,85,93,0.76,overcast clouds
174,Asau,RO,46.4333,26.4,25.72,79,81,6.71,broken clouds
175,Codrington,AU,-38.2667,141.9667,68.65,67,59,11.48,broken clouds
176,Auki,SB,-8.7676,160.7034,85.96,66,100,7.87,overcast clouds
177,Luanda,AO,-8.8368,13.2343,77.0,83,20,4.61,few clouds
178,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.23,96,100,7.56,overcast clouds
179,Bathsheba,BB,13.2167,-59.5167,77.27,83,14,17.31,light rain
180,Tocopilla,CL,-22.092,-70.1979,67.73,73,14,1.59,few clouds
181,Saskylakh,RU,71.9167,114.0833,-1.28,91,100,23.55,overcast clouds
182,Hualmay,PE,-11.0964,-77.6139,70.54,81,100,9.1,overcast clouds
183,Hirara,JP,24.8,125.2833,68.59,85,100,30.49,overcast clouds
184,Praia,CV,14.9215,-23.5087,72.05,62,38,8.86,scattered clouds
185,Holland,US,42.7875,-86.1089,53.44,70,100,5.99,overcast clouds
186,Havelock,US,34.8791,-76.9013,51.94,90,0,3.24,clear sky
